matrix,status,group,nnz,num_blocks,mat_fill,gspan,real_i8,null_i8,gain_i8,real_i4,null_i4,gain_i4
AG-Monien/whitaker3_dual/whitaker3_dual.mtx,pattern,AG-Monien,57162,21848,0.08176,0.0,,,,,,
Alemdar/Alemdar/Alemdar.mtx,ok,Alemdar,42581,30944,0.043,3.17,7e-06,5.9e-05,0.8777,0.000261,0.002138,0.8777
Bai/dwb512/dwb512.mtx,ok,Bai,2500,484,0.16142,12.372,0.004487,0.005701,0.2129,0.076395,0.07424,-0.029
Bai/lop163/lop163.mtx,ok,Bai,935,154,0.18973,39.8,0.004351,0.00561,0.2244,0.067027,0.079397,0.1558
Bai/mhd3200a/mhd3200a.mtx,ok,Bai,68026,4784,0.44436,97.841,0.004122,0.000995,-3.1434,0.015283,0.007038,-1.1715
Bai/mhd3200b/mhd3200b.mtx,ok,Bai,18316,2392,0.23929,67.374,0.003482,0.005789,0.3985,0.053828,0.042488,-0.2669
Bai/rdb5000/rdb5000.mtx,ok,Bai,29600,4900,0.18878,4.447,0.003473,0.003773,0.0796,0.087557,0.074281,-0.1787
Bai/rdb800l/rdb800l.mtx,ok,Bai,4640,740,0.19595,3.36,0.00484,0.004704,-0.0288,0.093365,0.096355,0.031
Bai/rdb968/rdb968.mtx,ok,Bai,5632,924,0.19048,3.306,0.004607,0.004275,-0.0776,0.108414,0.104457,-0.0379
Bai/rw136/rw136.mtx,ok,Bai,479,128,0.11694,4.907,0.002448,0.002634,0.0708,0.044304,0.046743,0.0522
Bai/rdb2048_noL/rdb2048_noL.mtx,ok,Bai,12032,1952,0.19262,5.164,0.00532,0.004818,-0.1043,0.078276,0.07397,-0.0582
Bai/rdb3200l/rdb3200l.mtx,ok,Bai,18880,3080,0.19156,3.853,0.004988,0.004859,-0.0266,0.108859,0.091492,-0.1898
Bai/rdb450/rdb450.mtx,ok,Bai,2580,535,0.1507,3.2,0.004063,0.003545,-0.1462,0.087371,0.085348,-0.0237
Bai/rdb450l/rdb450l.mtx,ok,Bai,2580,535,0.1507,5.106,0.005742,0.005144,-0.1164,0.085656,0.087926,0.0258
Bai/dw256B/dw256B.mtx,ok,Bai,2500,484,0.16142,12.372,0.004487,0.005701,0.2129,0.076395,0.07424,-0.029
Bai/dw4096/dw4096.mtx,ok,Bai,41746,8400,0.15531,15.332,0.003136,0.00648,0.5161,0.084366,0.066434,-0.2699
Bai/dw8192/dw8192.mtx,ok,Bai,41746,8400,0.15531,15.332,0.003136,0.00648,0.5161,0.084366,0.066434,-0.2699
Bai/dwa512/dwa512.mtx,ok,Bai,2480,464,0.16703,8.889,0.002913,0.0046,0.3667,0.039292,0.060453,0.35
Averous/epb0/epb0.mtx,ok,Averous,7764,1722,0.1409,16.891,0.001608,0.004364,0.6314,0.017431,0.069631,0.7497
Averous/epb1/epb1.mtx,ok,Averous,95053,17390,0.17081,11.776,0.004516,0.004397,-0.0272,0.081359,0.072574,-0.1211
Bai/bfwa398/bfwa398.mtx,ok,Bai,3678,810,0.1419,12.532,0.003232,0.004532,0.2868,0.042796,0.052088,0.1784
Bai/bfwa62/bfwa62.mtx,ok,Bai,450,80,0.17578,9.847,0.003433,0.005341,0.3573,0.055219,0.069242,0.2025
Bai/mhd4800a/mhd4800a.mtx,ok,Bai,102252,7184,0.44479,99.433,0.003824,0.000979,-2.9066,0.012914,0.005932,-1.177
Bai/mhd4800b/mhd4800b.mtx,ok,Bai,27520,3592,0.23942,68.961,0.003412,0.00528,0.3538,0.053754,0.040788,-0.3179
Bai/mhda416/mhda416.mtx,ok,Bai,8562,608,0.44007,87.278,0.010007,0.0031,-2.2282,0.057622,0.020939,-1.7519
Bai/mhdb416/mhdb416.mtx,ok,Bai,2312,304,0.23766,63.381,0.004022,0.007156,0.438,0.055038,0.060267,0.0868
Bomhof/circuit_1/circuit_1.mtx,ok,Bomhof,35823,7676,0.14584,49.842,0.000374,0.000319,-0.173,0.002091,0.001362,-0.5357
Bomhof/circuit_2/circuit_2.mtx,ok,Bomhof,21199,8020,0.0826,50.045,2e-05,0.000904,0.9781,0.000185,0.002375,0.9223
Bomhof/circuit_3/circuit_3.mtx,ok,Bomhof,48137,14859,0.10124,104.564,0.000802,0.002577,0.6889,0.009339,0.021494,0.5655
Brethour/coater1/coater1.mtx,ok,Brethour,19457,4045,0.15032,55.761,0.004033,0.00527,0.2347,0.059585,0.072788,0.1814
FlowIPM22/Spielman_k600/Spielman_k600_A_01.mtx,skip_size_5219MB,FlowIPM22,,,,,,,,,,
FlowIPM22/Spielman_k600/Spielman_k600_A_02.mtx,skip_size_5361MB,FlowIPM22,,,,,,,,,,
FlowIPM22/Spielman_k600/Spielman_k600_A_03.mtx,skip_size_5440MB,FlowIPM22,,,,,,,,,,
FlowIPM22/Spielman_k600/Spielman_k600_A_04.mtx,skip_size_5438MB,FlowIPM22,,,,,,,,,,
FlowIPM22/Spielman_k600/Spielman_k600_A_05.mtx,skip_size_5433MB,FlowIPM22,,,,,,,,,,
FlowIPM22/Spielman_k600/Spielman_k600_A_06.mtx,skip_size_5450MB,FlowIPM22,,,,,,,,,,
FlowIPM22/Spielman_k600/Spielman_k600_A_07.mtx,skip_size_5447MB,FlowIPM22,,,,,,,,,,
FlowIPM22/Spielman_k600/Spielman_k600_A_08.mtx,skip_size_5583MB,FlowIPM22,,,,,,,,,,
Boeing/crystm01/crystm01.mtx,ok,Boeing,105339,19207,0.17139,7.907,0.002865,0.005438,0.4732,0.047333,0.103163,0.5412
Boeing/msc00726/msc00726.mtx,ok,Boeing,34518,3402,0.31707,76.596,0.002208,0.003943,0.4399,0.03185,0.079473,0.5992
Boeing/msc01050/msc01050.mtx,ok,Boeing,26198,2995,0.27335,133.474,0.002814,0.003187,0.1171,0.026482,0.038442,0.3111
Boeing/msc01440/msc01440.mtx,ok,Boeing,44998,4508,0.31193,64.551,0.00538,0.007083,0.2405,0.058862,0.071451,0.1762
Boeing/msc04515/msc04515.mtx,ok,Boeing,97707,9379,0.32555,67.986,0.009312,0.009328,0.0018,0.148726,0.123892,-0.2004
Boeing/nasa1824/nasa1824.mtx,ok,Boeing,39208,4380,0.27974,72.235,0.00916,0.007882,-0.1621,0.080706,0.074416,-0.0845
Boeing/nasa2910/nasa2910.mtx,pattern,Boeing,174296,12388,0.43968,0.0,,,,,,
Boeing/nasa4704/nasa4704.mtx,pattern,Boeing,104756,12282,0.26654,0.0,,,,,,
Boeing/bcsstk34/bcsstk34.mtx,ok,Boeing,21418,1665,0.40199,75.734,0.00858,0.00948,0.0949,0.081407,0.08759,0.0706
Boeing/bcsstk38/bcsstk38.mtx,ok,Boeing,355460,25939,0.42824,127.234,0.006666,0.007088,0.0594,0.079422,0.063612,-0.2485
Boeing/bcsstm34/bcsstm34.mtx,ok,Boeing,24270,1665,0.45552,70.347,0.0089,0.014802,0.3987,0.109414,0.124169,0.1188
Boeing/bcsstm35/bcsstm35.mtx,ok,Boeing,20619,7847,0.08211,84.063,0.002492,0.003915,0.3635,0.026237,0.041063,0.3611
DIMACS10/data/data.mtx,pattern,DIMACS10,30186,4065,0.23206,0.0,,,,,,
DIMACS10/delaunay_n10/delaunay_n10.mtx,pattern,DIMACS10,6112,1941,0.0984,0.0,,,,,,
DIMACS10/delaunay_n11/delaunay_n11.mtx,pattern,DIMACS10,12254,3859,0.09923,0.0,,,,,,
DIMACS10/delaunay_n12/delaunay_n12.mtx,pattern,DIMACS10,24528,7873,0.09736,0.0,,,,,,
CPM/cz1268/cz1268.mtx,ok,CPM,12786,2635,0.15164,89.95,0.002903,0.004374,0.3362,0.040571,0.05386,0.2467
CPM/cz148/cz148.mtx,ok,CPM,1527,274,0.17416,100.016,0.003007,0.004333,0.306,0.040835,0.054141,0.2458
CPM/cz2548/cz2548.mtx,ok,CPM,25674,5258,0.15259,83.964,0.00296,0.004407,0.3284,0.040772,0.053372,0.2361
CPM/cz308/cz308.mtx,ok,CPM,3182,614,0.16195,98.019,0.003109,0.004755,0.3462,0.041848,0.053954,0.2244
